text,source,trait_tags,notes
說做就做,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=1-5
先衝再說,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=1-5
想到就做,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=1-5
立刻行動,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=1-5
直接衝了,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=1-5
我不思考就直接動手,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
有想法就馬上去做,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
後果之後再考慮,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
衝動是我做事風格,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
直覺比計畫更重要,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
機會就要馬上抓住,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
我習慣先行動後思考,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
說到做到不多想,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
想太多反而耽誤事,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
衝了再說後果不重要,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=6-12
機會來了就要立刻行動不管後果,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=13-20
我覺得想太多反而會耽誤最好時機,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=13-20
衝動做的決定有時候反而是最好的,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=13-20
我通常不會考慮太久馬上就去執行,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=13-20
行動永遠比思考重要後果不是問題,seed_batch,impulsiveness,boost_v3;endpoint=high;bucket=13-20
三思後行,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=1-5
沉著不急,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=1-5
慎重考量,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=1-5
深思熟慮,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=1-5
謹慎為先,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=1-5
行動前一定深思熟慮,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
每件事都要考慮清楚,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
我不會輕易做決定,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
謹慎才是最好的策略,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
我習慣計劃好再行動,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
衝動行事是不成熟的,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
我做事都要事先計畫,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
冷靜分析後才採取行動,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
需要時間想清楚才動手,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
做事不能太衝動要想清楚,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=6-12
在做任何決定前我都要充分評估風險,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=13-20
衝動行事只會帶來更多麻煩和後悔,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=13-20
我習慣把事情考慮清楚再決定要不要做,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=13-20
冒然行動通常只會造成更多的問題,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=13-20
每個決定都應該認真思考清楚才能去執行,seed_batch,impulsiveness,boost_v3;endpoint=low;bucket=13-20
