text,length_bucket,trait,endpoint
我做事憑直覺，先衝再說,6-12,impulsiveness,high
冒險是我最愛的感覺,1-5,impulsiveness,high
遇到機會馬上下決定，不猶豫,13-20,impulsiveness,high
說走就走的旅行令我興奮,6-12,impulsiveness,high
我不喜歡等待，越快越好,6-12,impulsiveness,high
衝動,1-5,impulsiveness,high
反正試過才知道，何必害怕,13-20,impulsiveness,high
我的選擇往往出於即時反應,13-20,impulsiveness,high
做之前不會想太多,6-12,impulsiveness,high
刺激感驅動著我的每一步,13-20,impulsiveness,high
躊躇是浪費時間，我直接行動,13-20,impulsiveness,high
我很容易被新事物吸引而改變計劃,13-20,impulsiveness,high
衝著感覺去做是我的習慣,13-20,impulsiveness,high
決定需要不超過 10 秒,6-12,impulsiveness,high
越危險我越想試,6-12,impulsiveness,high
我謹慎評估後再行動,6-12,impulsiveness,low
凡事都要想清楚才動,6-12,impulsiveness,low
謹慎,1-5,impulsiveness,low
計劃周密是我的作風,6-12,impulsiveness,low
倉促的決定只會後悔,13-20,impulsiveness,low
我需要充分時間來思考後果,13-20,impulsiveness,low
行動前必須列出所有風險,13-20,impulsiveness,low
沉著是我處事的根本,6-12,impulsiveness,low
反應快不等於決策好,6-12,impulsiveness,low
每一步都要精確計算,13-20,impulsiveness,low
我害怕衝動帶來的後果,13-20,impulsiveness,low
緩慢而穩定是最智慧的選擇,13-20,impulsiveness,low
給我充分的資訊才能決策,13-20,impulsiveness,low
倉促會導致災難,6-12,impulsiveness,low
思考勝過行動,1-5,impulsiveness,low
我會根據情況調整做事速度,13-20,impulsiveness,neutral
有時快速，有時謹慎,6-12,impulsiveness,neutral
平衡,1-5,impulsiveness,neutral
該快時快，該慢時慢,6-12,impulsiveness,neutral
我既不盲目冒進也不過度保守,13-20,impulsiveness,neutral
我喜歡主導對話和決策,6-12,assertiveness,high
掌控局面是我的風格,6-12,assertiveness,high
主張,1-5,assertiveness,high
我會直言不諱地表達想法,13-20,assertiveness,high
團體中我通常會帶頭發言,13-20,assertiveness,high
退縮不是我的個性,6-12,assertiveness,high
我對自己的見解充滿信心,13-20,assertiveness,high
說服他人是我的強項,6-12,assertiveness,high
沉默是懦弱，我選擇發言,13-20,assertiveness,high
我的聲音應該被聽見,6-12,assertiveness,high
領導他人是我天生的傾向,13-20,assertiveness,high
