text,source,trait_tags,notes
我說了算,seed_batch,assertiveness,endpoint=high;bucket=1-5
聽我的,seed_batch,assertiveness,endpoint=high;bucket=1-5
我主導,seed_batch,assertiveness,endpoint=high;bucket=1-5
不退讓,seed_batch,assertiveness,endpoint=high;bucket=1-5
直接說,seed_batch,assertiveness,endpoint=high;bucket=1-5
照我說,seed_batch,assertiveness,endpoint=high;bucket=1-5
我帶頭,seed_batch,assertiveness,endpoint=high;bucket=1-5
敢作敢當,seed_batch,assertiveness,endpoint=high;bucket=1-5
強勢出擊,seed_batch,assertiveness,endpoint=high;bucket=1-5
我來決定,seed_batch,assertiveness,endpoint=high;bucket=1-5
主導全場,seed_batch,assertiveness,endpoint=high;bucket=1-5
我不讓步,seed_batch,assertiveness,endpoint=high;bucket=1-5
表態清楚,seed_batch,assertiveness,endpoint=high;bucket=1-5
我說什麼就是什麼,seed_batch,assertiveness,endpoint=high;bucket=6-12
我不需要別人允許,seed_batch,assertiveness,endpoint=high;bucket=6-12
在討論中我主動說,seed_batch,assertiveness,endpoint=high;bucket=6-12
表達意見是我強項,seed_batch,assertiveness,endpoint=high;bucket=6-12
我清楚說出我想法,seed_batch,assertiveness,endpoint=high;bucket=6-12
我自然成為決策者,seed_batch,assertiveness,endpoint=high;bucket=6-12
我說不就是不了,seed_batch,assertiveness,endpoint=high;bucket=6-12
我對判斷有信心,seed_batch,assertiveness,endpoint=high;bucket=6-12
主動推動事情是我,seed_batch,assertiveness,endpoint=high;bucket=6-12
說服別人是我強項,seed_batch,assertiveness,endpoint=high;bucket=6-12
我不認同就說出來,seed_batch,assertiveness,endpoint=high;bucket=6-12
我習慣主導話題,seed_batch,assertiveness,endpoint=high;bucket=6-12
我不容易讓步,seed_batch,assertiveness,endpoint=high;bucket=6-12
在任何群體裡我都傾向掌握話語權,seed_batch,assertiveness,endpoint=high;bucket=13-20
表達自己的意見對我是很自然的事,seed_batch,assertiveness,endpoint=high;bucket=13-20
就算有人反對也會堅持說出我想法,seed_batch,assertiveness,endpoint=high;bucket=13-20
我在所有場合都主動帶領討論方向,seed_batch,assertiveness,endpoint=high;bucket=13-20
我不怕和任何人正面提出我的立場,seed_batch,assertiveness,endpoint=high;bucket=13-20
需要做決定時我都希望主導結果,seed_batch,assertiveness,endpoint=high;bucket=13-20
說出不滿而不憋在心裡是我方式,seed_batch,assertiveness,endpoint=high;bucket=13-20
我相信我的意見值得在任何場合被聽見,seed_batch,assertiveness,endpoint=high;bucket=13-20
面對衝突時我選擇直接表達不迴避,seed_batch,assertiveness,endpoint=high;bucket=13-20
我認為不表達意見就等於放棄影響力,seed_batch,assertiveness,endpoint=high;bucket=13-20
我在任何情境下都敢提出不同的聲音,seed_batch,assertiveness,endpoint=high;bucket=13-20
開口推動討論是我的習慣不需要勇氣,seed_batch,assertiveness,endpoint=high;bucket=13-20
我不喜歡等待別人決定寧可自己主導,seed_batch,assertiveness,endpoint=high;bucket=13-20
直接明確說出自己的要求是我的風格,seed_batch,assertiveness,endpoint=high;bucket=13-20
我不說話,seed_batch,assertiveness,endpoint=low;bucket=1-5
算了吧,seed_batch,assertiveness,endpoint=low;bucket=1-5
隨便你,seed_batch,assertiveness,endpoint=low;bucket=1-5
我不敢,seed_batch,assertiveness,endpoint=low;bucket=1-5
不表態,seed_batch,assertiveness,endpoint=low;bucket=1-5
我退讓,seed_batch,assertiveness,endpoint=low;bucket=1-5
你說算,seed_batch,assertiveness,endpoint=low;bucket=1-5
不爭了,seed_batch,assertiveness,endpoint=low;bucket=1-5
我後退,seed_batch,assertiveness,endpoint=low;bucket=1-5
讓你說,seed_batch,assertiveness,endpoint=low;bucket=1-5
保持安靜,seed_batch,assertiveness,endpoint=low;bucket=1-5
不主動說,seed_batch,assertiveness,endpoint=low;bucket=1-5
我服從就好,seed_batch,assertiveness,endpoint=low;bucket=1-5
我寧可選擇沉默,seed_batch,assertiveness,endpoint=low;bucket=6-12
讓別人來決定吧,seed_batch,assertiveness,endpoint=low;bucket=6-12
我不擅長表達意見,seed_batch,assertiveness,endpoint=low;bucket=6-12
我很少主動開口,seed_batch,assertiveness,endpoint=low;bucket=6-12
什麼都好我沒意見,seed_batch,assertiveness,endpoint=low;bucket=6-12
爭論讓我很不舒服,seed_batch,assertiveness,endpoint=low;bucket=6-12
我習慣配合別人,seed_batch,assertiveness,endpoint=low;bucket=6-12
表達想法讓我緊張,seed_batch,assertiveness,endpoint=low;bucket=6-12
我覺得說了也沒用,seed_batch,assertiveness,endpoint=low;bucket=6-12
我盡量不引人注意,seed_batch,assertiveness,endpoint=low;bucket=6-12
讓別人主導比較省,seed_batch,assertiveness,endpoint=low;bucket=6-12
我通常保持觀望,seed_batch,assertiveness,endpoint=low;bucket=6-12
我不想跟人起衝突,seed_batch,assertiveness,endpoint=low;bucket=6-12
就算我有不同看法也不會主動說出來,seed_batch,assertiveness,endpoint=low;bucket=13-20
被問到意見我總是說都可以或隨便,seed_batch,assertiveness,endpoint=low;bucket=13-20
我寧可接受別人決定也不願起衝突,seed_batch,assertiveness,endpoint=low;bucket=13-20
在群體裡我習慣安靜跟著大家走,seed_batch,assertiveness,endpoint=low;bucket=13-20
我很難主動表達自己的立場和主張,seed_batch,assertiveness,endpoint=low;bucket=13-20
面對不同意見第一反應是讓步不堅持,seed_batch,assertiveness,endpoint=low;bucket=13-20
我擔心表達意見讓別人覺得我強勢,seed_batch,assertiveness,endpoint=low;bucket=13-20
當別人更積極時我自然退到後面,seed_batch,assertiveness,endpoint=low;bucket=13-20
我不喜歡發號施令寧可跟別人意思,seed_batch,assertiveness,endpoint=low;bucket=13-20
即使有好想法也不容易主動開口說,seed_batch,assertiveness,endpoint=low;bucket=13-20
開口表達自己的意見對我是個挑戰,seed_batch,assertiveness,endpoint=low;bucket=13-20
在討論中我更喜歡聆聽而不主動說,seed_batch,assertiveness,endpoint=low;bucket=13-20
我擔心說錯話所以選擇聽別人說,seed_batch,assertiveness,endpoint=low;bucket=13-20
就算不同意也很難說出口只能心裡想,seed_batch,assertiveness,endpoint=low;bucket=13-20
一定行,seed_batch,optimism,endpoint=high;bucket=1-5
會好的,seed_batch,optimism,endpoint=high;bucket=1-5
有希望,seed_batch,optimism,endpoint=high;bucket=1-5
好轉了,seed_batch,optimism,endpoint=high;bucket=1-5
向前行,seed_batch,optimism,endpoint=high;bucket=1-5
樂觀看,seed_batch,optimism,endpoint=high;bucket=1-5
期待好,seed_batch,optimism,endpoint=high;bucket=1-5
成功了,seed_batch,optimism,endpoint=high;bucket=1-5
充滿期待,seed_batch,optimism,endpoint=high;bucket=1-5
看到希望,seed_batch,optimism,endpoint=high;bucket=1-5
美好未來,seed_batch,optimism,endpoint=high;bucket=1-5
相信明天,seed_batch,optimism,endpoint=high;bucket=1-5
積極向上,seed_batch,optimism,endpoint=high;bucket=1-5
我相信未來更好,seed_batch,optimism,endpoint=high;bucket=6-12
一切都會好起來,seed_batch,optimism,endpoint=high;bucket=6-12
我對生活充滿期待,seed_batch,optimism,endpoint=high;bucket=6-12
明天一定比今天好,seed_batch,optimism,endpoint=high;bucket=6-12
我從不失去希望,seed_batch,optimism,endpoint=high;bucket=6-12
困難最終都會過去,seed_batch,optimism,endpoint=high;bucket=6-12
我對未來保持樂觀,seed_batch,optimism,endpoint=high;bucket=6-12
壞事也是短暫的,seed_batch,optimism,endpoint=high;bucket=6-12
我深信事情會好轉,seed_batch,optimism,endpoint=high;bucket=6-12
生活充滿美好可能,seed_batch,optimism,endpoint=high;bucket=6-12
我永遠看到光明面,seed_batch,optimism,endpoint=high;bucket=6-12
只要努力就有收穫,seed_batch,optimism,endpoint=high;bucket=6-12
我不輕易放棄希望,seed_batch,optimism,endpoint=high;bucket=6-12
不管遇到什麼困難最後都會有好的結果,seed_batch,optimism,endpoint=high;bucket=13-20
我從困難中找到值得期待的正面意義,seed_batch,optimism,endpoint=high;bucket=13-20
就算當下很難我相信未來會好轉,seed_batch,optimism,endpoint=high;bucket=13-20
我對生活的基本態度是相信美好,seed_batch,optimism,endpoint=high;bucket=13-20
每次遇到挫折我告訴自己只是暫時的,seed_batch,optimism,endpoint=high;bucket=13-20
我在最糟糕時也能看到一線希望,seed_batch,optimism,endpoint=high;bucket=13-20
對我來說每天都是充滿可能的開始,seed_batch,optimism,endpoint=high;bucket=13-20
我相信只要堅持努力就能達到目標,seed_batch,optimism,endpoint=high;bucket=13-20
我用積極眼光看待生活中所有起伏,seed_batch,optimism,endpoint=high;bucket=13-20
失望只是通往成功路上的一道關卡,seed_batch,optimism,endpoint=high;bucket=13-20
我相信這次挫折之後等待我的是機會,seed_batch,optimism,endpoint=high;bucket=13-20
即使現在不順心我堅信接下來會好,seed_batch,optimism,endpoint=high;bucket=13-20
對未來樂觀的態度讓我每天都有動力,seed_batch,optimism,endpoint=high;bucket=13-20
我習慣從每件事中找到值得感激的地方,seed_batch,optimism,endpoint=high;bucket=13-20
沒希望,seed_batch,optimism,endpoint=low;bucket=1-5
不會好,seed_batch,optimism,endpoint=low;bucket=1-5
都沒用,seed_batch,optimism,endpoint=low;bucket=1-5
絕望了,seed_batch,optimism,endpoint=low;bucket=1-5
沒出路,seed_batch,optimism,endpoint=low;bucket=1-5
放棄吧,seed_batch,optimism,endpoint=low;bucket=1-5
不抱望,seed_batch,optimism,endpoint=low;bucket=1-5
必然敗,seed_batch,optimism,endpoint=low;bucket=1-5
毫無光,seed_batch,optimism,endpoint=low;bucket=1-5
注定失敗,seed_batch,optimism,endpoint=low;bucket=1-5
未來黯淡,seed_batch,optimism,endpoint=low;bucket=1-5
沒有出路,seed_batch,optimism,endpoint=low;bucket=1-5
全無指望,seed_batch,optimism,endpoint=low;bucket=1-5
事情很少如我所願,seed_batch,optimism,endpoint=low;bucket=6-12
我不相信會有好事,seed_batch,optimism,endpoint=low;bucket=6-12
努力也是白費功夫,seed_batch,optimism,endpoint=low;bucket=6-12
我早就料到會失敗,seed_batch,optimism,endpoint=low;bucket=6-12
不管怎麼做都沒用,seed_batch,optimism,endpoint=low;bucket=6-12
我對未來不抱期待,seed_batch,optimism,endpoint=low;bucket=6-12
好的結果不屬於我,seed_batch,optimism,endpoint=low;bucket=6-12
我對生活失去信心,seed_batch,optimism,endpoint=low;bucket=6-12
最壞的結果才是常態,seed_batch,optimism,endpoint=low;bucket=6-12
我不覺得事情能好轉,seed_batch,optimism,endpoint=low;bucket=6-12
