text,source,trait_tags,notes
我做事憑直覺，先衝再說,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
冒險是我最愛的感覺,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=1-5
遇到機會馬上下決定，不猶豫,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
說走就走的旅行令我興奮,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
我不喜歡等待，越快越好,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
衝動,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=1-5
反正試過才知道，何必害怕,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
我的選擇往往出於即時反應,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
做之前不會想太多,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
刺激感驅動著我的每一步,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
躊躇是浪費時間，我直接行動,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
我很容易被新事物吸引而改變計劃,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
衝著感覺去做是我的習慣,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=13-20
決定需要不超過 10 秒,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
越危險我越想試,seed_batch,impulsiveness,v2_seed;endpoint=high;bucket=6-12
我謹慎評估後再行動,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
凡事都要想清楚才動,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
謹慎,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=1-5
計劃周密是我的作風,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
倉促的決定只會後悔,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
我需要充分時間來思考後果,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
行動前必須列出所有風險,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
沉著是我處事的根本,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
反應快不等於決策好,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
每一步都要精確計算,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
我害怕衝動帶來的後果,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
緩慢而穩定是最智慧的選擇,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
給我充分的資訊才能決策,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=13-20
倉促會導致災難,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=6-12
思考勝過行動,seed_batch,impulsiveness,v2_seed;endpoint=low;bucket=1-5
我會根據情況調整做事速度,seed_batch,impulsiveness,v2_seed;endpoint=neutral;bucket=13-20
有時快速，有時謹慎,seed_batch,impulsiveness,v2_seed;endpoint=neutral;bucket=6-12
平衡,seed_batch,impulsiveness,v2_seed;endpoint=neutral;bucket=1-5
該快時快，該慢時慢,seed_batch,impulsiveness,v2_seed;endpoint=neutral;bucket=6-12
我既不盲目冒進也不過度保守,seed_batch,impulsiveness,v2_seed;endpoint=neutral;bucket=13-20
