text,source,trait_tags,notes
隨機而為,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
不按牌理,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
說變就變,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
隨心所欲,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
毫無規律,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
按心情走,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
臨時決定,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
看情況說,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
想變就變,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
無跡可循,seed_batch,randomness,boost_v2;endpoint=high;bucket=1-5
我的行動讓人猜不透,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
今天計畫明天就放棄,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
沒有規律才是我的規律,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
突然改變方向是常態,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
我的決定沒有邏輯,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
計畫是用來打破的,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
我喜歡跳躍式思考,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
隨機應變是我的強項,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
不重複走同樣路線,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
每天都走不同的路,seed_batch,randomness,boost_v2;endpoint=high;bucket=6-12
我今天想做A明天就可能改去做B,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
別人說我不可捉摸其實我自己也不知道,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
生活若沒有意外就太無聊了,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
我的想法常常跳來跳去讓人難以掌握,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
計畫從來不是我的強項因為我喜歡隨機,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
我選擇什麼完全取決於當下心情沒有道理,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
就算是吃飯我也不喜歡每次去同一家店,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
我的日程表永遠不代表我真正會做的事,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
別人問我計畫我都說不知道因為我也不知道,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
想法一轉變我就立刻換方向不覺得有什麼問題,seed_batch,randomness,boost_v2;endpoint=high;bucket=13-20
照計畫走,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
固定模式,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
從不例外,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
按時按序,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
一切可預,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
規律最好,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
絕不偏離,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
按表操課,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
分毫不差,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
慣例優先,seed_batch,randomness,boost_v2;endpoint=low;bucket=1-5
我每天都按固定時間起床,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
計畫一旦定下就不更改,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
別人說我很好預測,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
我的行動完全按計畫走,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
固定的習慣讓我有安全感,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
我不喜歡打亂既有節奏,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
一致性是我的核心價值,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
我每週都做同樣的事情,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
可預測的生活讓我舒適,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
我的決策模式從不偏離,seed_batch,randomness,boost_v2;endpoint=low;bucket=6-12
我喜歡把所有事情排進日曆然後嚴格執行,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
別人說和我相處最好預測因為我從不突然改變,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
制定計畫後我會百分百執行不接受臨時改動,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
我的生活節奏非常規律連假日都不例外,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
每件事都按預定步驟走絕不跳過任何一個環節,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
我享受可以預測明天會發生什麼事的安全感,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
和我約定放心因為從不臨時取消,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
旅行時每天行程排得清清楚楚,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
我習慣固定方式即使有更快的方法,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
早晨步驟一成不變已持續好幾年,seed_batch,randomness,boost_v2;endpoint=low;bucket=13-20
先衝再說,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
說走就走,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
馬上就做,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
不想後果,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
直接行動,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
衝了再算,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
不假思索,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
一時興起,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
立刻出發,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
想到就做,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=1-5
看到好物立刻就買,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
我的決定只要幾秒,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
腦中一閃就馬上去做,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
情緒一來就開口說,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
先買了再考慮需不需要,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
感覺對了就行動,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
一時興起就出發旅行,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
衝動消費從不後悔,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
說辭職就辭職不猶豫,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
當下感覺好就直接說,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=6-12
有時候我完全不考慮後果就直接行動了,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
朋友說我做事不經大腦但我覺得這才是活著,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
昨天還在想今天已經在做了完全沒計畫,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
一股衝勁來了我就什麼都拋下去做想做的事,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
買東西的時候我從來不比較只要喜歡就買單,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
當情緒高漲時我常常說出之後會後悔的話,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
我的行動比思考快所以常常做了才意識到後果,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
遇到機會直接抓住想太多才會錯過,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
別人都說想一起旅行找我因為我說出發就出發,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
沒有計畫的行動才讓我覺得自己真正活著,seed_batch,impulsiveness,boost_v2;endpoint=high;bucket=13-20
深思熟慮,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
三思後行,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
慎重評估,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
謹慎為先,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
再三考量,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
慢慢思考,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
確認再行,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
不輕易動,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
等待時機,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
穩紮穩打,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=1-5
每個決定我都反覆評估,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
我不會在情緒下做決定,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
想清楚再行動是我原則,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
大決定前我會列出利弊,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
不確定的事我不輕易嘗試,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
我需要充分資訊才行動,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
做決定前我先睡一覺再想,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
每步棋都仔細考慮清楚,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
我習慣觀望一段時間再決定,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
衝動是魔鬼所以我都會等,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=6-12
每次重大決定我都會花好幾天反覆思考才行動,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=13-20
情緒衝動下的決定往往後悔所以我都會等冷靜,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=13-20
我在下決定前一定先列出所有利弊得失才行動,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=13-20
別人說我行動慢但我寧願謹慎也不要衝動後悔,seed_batch,impulsiveness,boost_v2;endpoint=low;bucket=13-20
